Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,,,,article,,brave.com,Brave,,https://brave.com/blog/index.xml
nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,Top News,,,On,article,,www.nytimes.com,Top Sources; Top News,1,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
cnn.com,http://rss.cnn.com/rss/cnn_latest.rss,CNN,Top News,,,,article,,www.cnn.com,Top Sources; Top News,2,https://rss.cnn.com/rss/cnn_topstories.rss
foxnews.com,https://feeds.feedburner.com/foxnews/latest,FOX News,Top News,,,On,article,,www.foxnews.com,Top Sources; Top News,3,https://feeds.foxnews.com/foxnews/latest
washingtonpost.com,https://feeds.washingtonpost.com/rss/national,Washington Post,Top News,,,,article,,www.washingtonpost.com,Top Sources; Top News,4,https://www.washingtonpost.com/?outputType=rss
theguardian.com,https://www.theguardian.com/international/rss,The Guardian World News,World News,,,On,article,,www.theguardian.com,Top Sources; Top News; World News,5,https://www.theguardian.com/world/rss
webmd.com,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD Health,Health,,,,article,,www.webmd.com,Top Sources; Health,6,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC
espn.com,https://www.espn.com/espn/rss/news,ESPN,Sports,,,,article,,www.espn.com,Top Sources; Sports,7,https://www.espn.com/espn/rss/news
forbes.com,https://www.forbes.com/real-time/feed/,Forbes,Business,,,,article,,www.forbes.com,Top Sources; Business,8,https://www.forbes.com/real-time/feed/
healthline.com,https://www.healthline.com/rss/health-news,Healthline,Health,,,,article,,www.healthline.com,Top Sources; Health,9,
investopedia.com,https://www.investopedia.com/feeds/google-news,Investopedia,Business,,,,article,,www.investopedia.com,Top Sources; Business,10,https://www.investopedia.com/feeds/google-news
usnews.com,https://www.usnews.com/rss/news,US News,Top News,,,,article,,www.usnews.com,Top Sources; Top News,11,https://www.usnews.com/rss/news
cnbc.com,https://www.cnbc.com/id/100003114/device/rss/rss.html,CNBC,Business,,,,article,,www.cnbc.com,Top Sources; Top News,12,
nypost.com,https://nypost.com/news/feed,New York Post,Top News,,,On,article,,nypost.com,Top Sources; Top News,13,https://nypost.com/news/feed/
cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,,,On,article,,www.cnet.com,Top Sources; Technology,14,https://www.cnet.com/rss/news/
dailymail.co.uk,https://www.dailymail.co.uk/news/worldnews/index.rss,Daily Mail World News,World News,,,On,article,,www.dailymail.co.uk,Top Sources; Top News; World News,15,
bbc.com,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC World News,World News,,,,article,,www.bbc.co.uk,Top Sources; Top News; World News,16,https://feeds.bbci.co.uk/news/rss.xml?edition=int
businessinsider.com,https://feeds.businessinsider.com/custom/all,Business Insider,Business,,,,article,,markets.businessinsider.com;www.businessinsider.com;www.insiderintelligence.com,Top Sources; Business,17,https://feeds2.feedburner.com/businessinsider
gamespot.com,https://www.gamespot.com/feeds/news,Gamespot,Gaming,,,,article,,www.gamespot.com,Top Sources; Entertainment; Gaming,18,https://www.gamespot.com/feeds/news
mayoclinic.org,https://www.mayoclinic.org/rss/all-health-information-topics,Mayo Clinic,Health,,,,article,,www.mayoclinic.org,Top Sources; Health,19,
ign.com,http://feeds.ign.com/ign/reviews,IGN Reviews,Entertainment,,,,article,,www.ign.com,Top Sources; Entertainment,20,
screenrant.com,https://screenrant.com/feed/,Screenrant,Entertainment,,,,article,,screenrant.com,Top Sources; Entertainment,21,https://screenrant.com/feed/
usatoday.com,https://rssfeeds.usatoday.com/usatoday-newstopstories&x=1,USA Today,Top News,,,,article,,usatoday.com,Top Sources; Top News,22,https://rssfeeds.usatoday.com/usatoday-newstopstories&x=1
cbssports.com,https://www.cbssports.com/rss/headlines/,CBSSports,Sports,,,,article,,www.cbssports.com,Top Sources; Sports,23,https://www.cbssports.com/rss/headlines/
gamerant.com,https://www.gamerant.com/feed/,Gamerant,Gaming,,,,article,,gamerant.com,Top Sources; Gaming,24,https://www.gamerant.com/feed/
wsj.com,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,WSJ,Business,,,,article,,www.wsj.com,Top Sources; Top News; Business,25,https://feeds.a.dj.com/rss/RSSWorldNews.xml
people.com,https://www.people.com/feeds/google-news,People,Entertainment,,,,article,,people.com,Top Sources; Entertainment,26,
npr.org,https://feeds.npr.org/1001/rss.xml,NPR,Top News,,,,article,,www.npr.org,Top Sources; Top News,27,https://feeds.npr.org/1001/rss.xml
pcmag.com,https://uk.pcmag.com/feed.xml,PCMag UK,Technology,,,,article,,uk.pcmag.com,Top Sources; Technology,28,
