Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://www.brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,The Times of India,Top News,Enabled,291684,,article,,indiatimes.com,Top Sources; Top News,1,
geeksforgeeks.org,https://www.geeksforgeeks.org/feed/,GeeksforGeeks,Technology,Enabled,244575,,article,,geeksforgeeks.org,Top Sources; Technology,2,
fandom.com,https://www.fandom.com/feed,Fandom,Entertainment,Enabled,128859,,article,,fandom.com,Top Sources; Entertainment,3,
hindustantimes.com,https://www.hindustantimes.com/feeds/rss/latest/rssfeed.xml,Hindustan Times,Top News,Enabled,111781,,article,,hindustantimes.com,Top Sources; Top News,4,
economictimes.com,https://economictimes.indiatimes.com/rssfeedsdefault.cms,Economic Times,Business,Enabled,107285,,article,,economictimes.com,Top Sources; Business,5,
moneycontrol.com,https://moneycontrol.com/rss,Moneycontrol,Business,Enabled,102001,,article,,moneycontrol.com,Top Sources; Business,6,
indianexpress.com,https://www.indianexpress.com/feed,The Indian Express,Top News,Enabled,97616,,article,,indianexpress.com,Top Sources; Top News,7,
livemint.com,https://www.livemint.com/rss/news,Mint,Top News,Enabled,82990,,article,,livemint.com,Top Sources; Top News,8,
thehindu.com,https://www.thehindu.com/news/national/feeder/default.rss,The Hindu,Top News,Enabled,82429,,article,,thehindu.com,Top Sources; Top News,9,
investopedia.com,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Enabled,59809,,article,,investopedia.com,Top Sources; Business,10,
indiatoday.in,https://www.indiatoday.in/rssfeeds?id=home,India Today,Top News,Enabled,57237,,article,,indiatoday.in,Top Sources; Top News,11,
espncricinfo.com,https://www.espncricinfo.com/rss/content/story/feeds/0.xml,ESPN Cricinfo,Sports,Enabled,56371,,article,,espncricinfo.com,Top Sources; Sports,12,
ndtv.com,https://feeds.feedburner.com/NDTV-LatestNews,NDTV,Top News,Enabled,54742,,article,,ndtv.com,Top Sources; Top News,13,
healthline.com,https://www.healthline.com/rss/health-news,Healthline,Health,Enabled,50064,,article,,healthline.com,Top Sources; Health,15,
forbes.com,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,49073,,article,,forbes.com,Top Sources; Business,16,
makeuseof.com,https://makeuseof.com/feed/,MakeUseOf,Technology,Enabled,43128,,article,,makeuseof.com,Top Sources; Technology,17,
techtarget.com,https://www.techtarget.com/rss,TechTarget,Technology,Enabled,42922,,article,,techtarget.com,Top Sources; Technology,18,
webmd.com,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD,Health,Enabled,42635,,article,,webmd.com,Top Sources; Health,19,
bbc.com,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC World News,World News,Enabled,39139,,article,,bbc.com,Top Sources; World News,20,
business-standard.com,https://www.business-standard.com/rss/home_page_top_stories.rss,Business Standard,Business,Enabled,37441,,article,,business-standard.com,Business,21,
theguardian.com,https://www.theguardian.com/international/rss,The Guardian World News,World News,Enabled,36904,,article,,theguardian.com,Top Sources; World News,22,
news18.com,https://www.news18.com/rss/world.xml,News18,Top News,Enabled,36576,,article,,news18.com,Top Sources; Top News,23,
gadgets360.com,https://feeds.feedburner.com/gadgets360-latest,Gadgets 360,Technology,Enabled,33842,,article,,gadgets360.com,Top Sources; Technology,24,
businesstoday.in,https://businesstoday.in/rssfeeds/?id=home,Business Today,Business,Enabled,32758,,article,,businesstoday.in,Business,25,
news.abplive.com,https://news.abplive.com/home/feed,ABP News,Top News,Enabled,28195,,article,,news.abplive.com,Top Sources; Top News,26,
gsmarena.com,https://www.gsmarena.com/rss-news-reviews.php3,GSMArena,Technology,Enabled,26608,,article,,gsmarena.com,Top Sources; Technology,27,
nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,World News,Enabled,25843,,article,,nytimes.com,Top Sources; World News,28,
howtogeek.com,https://feeds.howtogeek.com/HowToGeek,How-To Geek,Technology,Enabled,25731,,article,,howtogeek.com,Top Sources; Technology,29,
mayoclinic.org,https://mayoclinic.org/rss,Mayo Clinic,Health,Enabled,25101,,article,,mayoclinic.org,Health,30,
xda-developers.com,https://xda-developers.com/feed/,XDA Developers,Technology,Enabled,24393,,article,,xda-developers.com,Technology,31,
techradar.com,https://www.techradar.com/rss,TechRadar,Technology,Enabled,21863,,article,,techradar.com,Technology,32,
ign.com,https://feeds.ign.com/ign/reviews,IGN,Gaming,Enabled,21722,,article,,ign.com,Top Sources; Gaming,33,
nature.com,https://www.nature.com/nature.rss,Nature,Science,Enabled,21670,,article,,nature.com,Science,34,
sammobile.com,https://www.sammobile.com/feed/,SamMobile,Technology,Enabled,21655,,article,,sammobile.com,Technology,35,
india.com,https://india.com/rss,India.com,Top News,Enabled,21643,,article,,india.com,Top Sources; Top News,36,
lifewire.com,https://www.lifewire.com/feeds/google-news,Lifewire,Technology,Enabled,21370,,article,,lifewire.com,Technology,37,
screenrant.com,https://screenrant.com/feed/,Screen Rant,Entertainment,Enabled,21051,,article,,screenrant.com,Top Sources; Entertainment; Film and TV,39,
bloomberg.com,https://bloomberg.com/feedback,Bloomberg,Business,Enabled,20215,,article,,bloomberg.com,Business,40,
gadgetsnow.com,https://gadgetsnow.com/feedback.cms,Gadgets Now,Technology,Enabled,19789,,article,,gadgetsnow.com,Technology,41,
pcmag.com,https://pcmag.com/reviews/birdkiss-smart-bird-feeder-with-solar-panel,PC Magazine,Technology,Enabled,19569,,article,,pcmag.com,Technology,42,
techadvisor.com,https://www.techadvisor.com/en-us/feed,Tech Advisor,Technology,Enabled,19389,,article,,techadvisor.com,Technology,43,
digitaltrends.com,https://www.digitaltrends.com/feed/,Digital Trends,Technology,Enabled,19375,,article,,digitaltrends.com,Top Sources; Technology,44,
cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,19364,,article,,cnet.com,Technology,45,
businessinsider.com,https://feeds.businessinsider.com/custom/all,Business Insider,Business,Enabled,18170,,article,,businessinsider.com,Business,46,
bloombergquint.com,https://bloombergquint.com/stories.rss,Bloomberg Quint,Business,Enabled,17376,,article,,bloombergquint.com,Business,48,
gamerant.com,https://gamerant.com/feed/,Game Rant,Gaming,Enabled,16420,,article,,gamerant.com,Top Sources; Gaming,49,
timesnownews.com,https://www.timesnownews.com/feeds/gns-en-latest.xml,Times Now,Top News,Enabled,15417,,article,,timesnownews.com,Top News,51,
techspot.com,https://www.techspot.com/backend.xml,TechSpot,Technology,Enabled,14616,,article,,techspot.com,Technology,53,
indiatvnews.com,https://www.indiatvnews.com/rssnews/topstory.xml,India TV,Top News,Enabled,14593,,article,,indiatvnews.com,Top News,54,
filmibeat.com,https://filmibeat.com/rss/,Filmibeat,Entertainment,Enabled,14352,,article,,filmibeat.com,Top Sources; Entertainment; Film and TV,55,
aljazeera.com,https://www.aljazeera.com/xml/rss/all.xml,Al Jazeera,Top News,Enabled,14097,,article,,aljazeera.com,Top News,56,
